instruction,input,output,text
Does high inflation help or hurt companies with huge cash reserves?,,"This is a reasonable question about inflation.  I would just like to note that inflation is nearly zero at the moment.  And interest rates are very low.  For a stable enterprise, borrowing cash is very easy right now.  Naturally, things could change in a year.  But the reason a company like Microsoft (but not just them) might hoard cash right now is that it gives them weight for buying up smaller firms, muscling rivals, and signaling their comfort level with the way things look for them.  It could also be because they are out of ideas for what to invest in, and/or are waiting for conditions to change before making any big decisions.  But with an interest rate at close to zero, and an inflation rate at close to zero, at the moment, inflation is not going to be a consideration in evaluating such a company.",
"If I have $1000 to invest in penny stocks online, should I diversify risk and invest in many of them or should I invest in just in one?",,"There's a grey area where investing and speculating cross. For some, the stock market, as in 10% long term return with about 14% standard deviation, is too risky. For others, not enough action.  Say you have chosen 10 penny stocks, done your diligence, to the extent possible, and from a few dozen this is the 10 you like. I'd rather put $100 into each of 10 than to put all my eggs in one basket. You'll find that 3 might go up nicely, 3 will flounder around, and 4 will go under. The gambler mentality is if one takes off, you have a profit.  After the crash of '08, buying both GM and Ford at crazy prices actually worked, GM stockholders getting nothing, but Ford surviving and now 7X what I bought it for.  Remember, when you go to vegas, you don't drop all your chips on Red, you play blackjack/craps as long as you can, and get all the free drinks you can.",
Why is the fractional-reserve banking not a Ponzi scheme?,,"The fundamental underlying difference between a bank and a Ponzi scheme: When a bank lends money and charges interest, people can do things with that borrowed money which are worth it. (Building factories, starting businesses, or just enjoying the comfort and warmth of a single-family home instead of paying rent). This is why fractional-reserve banking is able to work. People may also do things which do not necessarily turn a financial profit (financing large purchases on a credit card) but are worth it in terms of an expenditure. They may also do stupid things (financing useless purchases on a credit card and wasting their money) or otherwise dispose of the money poorly (the new business fails, the home's value plummets, etc). A Ponzi scheme never really bothered to do useful things with the money. Social Security has been mentioned. Part of social security's setup involves the current population of workers paying the current population of retirees; their own retirements will have to be financed by the next generation. This design is not intrinsically a Ponzi scheme: both the population and the economy ought to remain growing for the intermediate future, so there will be at least as much money (and probably much more) for them to pay those bills. Unlike a Ponzi scheme, the idea that it will continue to attract new money to pay out existing claims is a realistic one. The real questions of its sustainability are a matter of specifics: is it collecting enough money to remain functional in the future, or is it outpacing the growth of the economy and the population?",
Is it possible for me to keep my credit card APR at 0% permanently?,,"Banks don't care that you are responsible cardholder. They care to make money. Interest rates are basically 0% by government policy and the banks charge their responsible cardholders 20% interest rates. Think about that for one second, and realize they really do not care about your ability to avoid paying interest, they only need you to 'slip up' one month during your entire lifetime to make a profit from you. It is in their interest for you to get into a spending habit, from 0% promo rates, so that eventually a frivolous purchase or life changing event causes a balance to stay on the card for over one month.",
Buying my first car out of college,,I've seen this approach to buying/funding cars described in a couple of different ways over the years. Random thoughts:,
Low risk withdrawal from market. Is there a converse to dollar-cost-averaging?,,"When you are a certain age you will be able to tap into your retirement accounts, or start receiving pension and social security funds. In addition you may be faced with required minimum distributions from these accounts.  But even before you get to those points you will generally shift the focus of new funds into the retirement account to be more conservative. Depending on the balances in the various accounts and the size of the pension and social security accounts you may even move invested funds from aggressive to conservative investments. The proper proportion of the many different types of investments and revenue streams is open to much debate. During retirement you will be pulling money out of retirement accounts either to support your standard of living or to meet the required minimum distributions. What to sell will be based on either the tax implications or the required distributions that will still maintain the asset allocation you desire.   If your distributions are driven by the law you will be selling enough to meet a specific required $ figure. You will either spend that money or move it into a low interest savings account or a non-retirement investment account. If trying to meet your standard of living expectations you will be selling funds that allow you to keep your desired asset allocation but still have enough to live on. Again you will be trying to meet a specific $ figure.  Of course you may decide at anytime in retirement to rebalance based on changes to your lifestyle, family obligations, or winning the lottery.",
Is stock in a private corporation taxable?,,"This stock is the same as any other, but you need to keep clear in your head that you and your company are now different entities.  You (the person) will pay tax on capital gains and losses when you sell any stock that you hold in your own name.  You'll also owe ""regular"" tax if you draw a salary, etc.  The fact that it may be ""your"" company does not change these things. The company will not recognize a gain by selling stock to raise capital since it's nominally exchanging things of equal value, say $100 in cash for $100 in stock.  In order to sell stock, however, you MIGHT need to register with the SEC depending on how you're going about finding your investors, so keep that in mind.",
Are there any disadvantages to DHA Investment Properties?,,"I think the strongest reason against DHA purchases (I don't consider them investments) is points 3 and 5 mentioned above. The resale market is only to other investors that are convinced its a good investment.If you can't sell to owner occupiers, you've just removed the MAJORITY of your potential pool of people to resell to - this has a devastating effect on your ability to make any capital gain from your investment - if you're not chasing capital gain...be sure to understand why! (see article below)The marketing people will have you believe that DHA is a great investment from a yield perspective...maybe so, I haven't crunched the numbers. But in my opinion, I would wonder - who cares?Yield is important to ensure you can hold the property, but if there is no capital growth and you can't sell it for a profit or release some equity to buy the next investment, then you've just put a massive road block in your wealth building path.I am at the asset accumulation phase of my investing journey, so my opinion is skewed towards capital growth investments. Unless you have a sizable equity base already, in my opinion $4-5 Million in debt free assets, then you should be looking for capital growth assets...not high yield.This article from Your Investment Property magazine, although now dated, gives a good example to illustrate my point on why capital growth is the sensible strategy during the asset building phase of your wealth creation journey: Why capital growth is still king  I think the strongest reason against DHA purchases (I don't consider them investments) is points 3 and 5 mentioned above.  The resale market is only to other investors that are convinced its a good investment. If you can't sell to owner occupiers, you've just removed the MAJORITY of your potential pool of people to resell to - this has a devastating effect on your ability to make any capital gain from your investment - if you're not chasing capital gain...be sure to understand why! (see article below) The marketing people will have you believe that DHA is a great investment from a yield perspective...maybe so, I haven't crunched the numbers. But in my opinion, I would wonder - who cares? Yield is important to ensure you can hold the property, but if there is no capital growth and you can't sell it for a profit or release some equity to buy the next investment, then you've just put a massive road block in your wealth building path. I am at the asset accumulation phase of my investing journey, so my opinion is skewed towards capital growth investments. Unless you have a sizable equity base already, in my opinion $4-5 Million in debt free assets, then you should be looking for capital growth assets...not high yield. This article from Your Investment Property magazine, although now dated, gives a good example to illustrate my point on why capital growth is the sensible strategy during the asset building phase of your wealth creation journey: Why capital growth is still king",
"Should I pay off my mortgage, begin retirement savings, or build my emergency fund?",,"Welcome to Money.SE. I will say upfront, Personal Finance is just that, personal, and you are likely to get multiple, perhaps conflicting, answers. Are you sure the PMI will drop off after 2 years? The rules are specific, and for PMI, when prepayments put you at that 78/80% LTV, your bank can require an appraisal, not automatically drop it. Talk to the banks, get confirmation, and depending what they say, keep hacking away at the mortgage.  After this, I suggest jumping on Roth IRAs. You are in the 15% bracket, and the Roth will let you deposit $5500 for each you and your wife. A great way to kickstart a higher level of retirement savings.  After this, I'm not comfortable with the emergency savings level. If you lose your job tomorrow (Funny story, my wife and I lost our's on the same day 3 years ago) and don't have enough savings (Our retirement accounts were good to just retire that day) you can easily run out of money and be late on the mortgage. It's great to prepay the mortgage to get rid of that PMI, but once there, I'd do the Roth and then focus on savings. 6 months expenses minimum.  We have a great Q&A here titled Oversimplify it for me: the correct order of investing in which I go in to more detail, as do 4 other members.  I am not getting on the ""investments will return more than your mortgage cost"" soapbox. A well-funded emergency fund is a very conservative bit of advice. With no matched 401(k), I suggest a balance of the Roth savings and prepayments.  From another great post, Ideal net worth by age X? Need comparison references you should have nearly 1 year's salary (90K) saved toward retirement.  Any question on my advice, add a comment and I will edit in more details.",
"My university has tranfered me money by mistake, and wants me to transfer it back",,"Confirming whether the payment was an error The simplest method is to confirm manually with the University whether the payment was a mistake and satisfy that between yourselves. If you're concerned it's fraudulant, I recommend calling the University finance office on a phone number you find on their website, or call one of the people you know. Reversing the payment To formally reverse the payment, I'd check your Product Disclosure Statement on your account with the bank. There's almost always a fee involved where a payment is reversed. It's probably easiest to just issue the payment back to the university to an agreed BSB/Account Number.",
Is it possible to make money by getting a mortgage?,,"This answer is based on Australian tax, which is significantly different. I only offer it in case others want to compare situations. In Australia, a popular tax reduction technique is ""Negative Gearing"". Borrow from a bank, buy an investment property. If the income frome the new property is not enough to cover interest payments (plus maintenance etc) then the excess each year is a capital loss - which you claim each year, as an offset to your income (ie. pay less tax). By the time you reach retirement, the idea is to have paid off the mortgage. You then live off the revenue stream in retirement, or sell the property for a (taxed) lump sum.",
"What should I do with my $10K windfall, given these options?",,"I've been listening to Dave Ramsey a lot lately, and he encourages (encourage might be too light of a word for him) this priority list for budgeting: I would strongly advise you to tackle this list before you start to think about any sizable ""fun"" spending.  If you don't have #1, set that aside first. The options you mentioned: New roof: You should ask yourself ""what is the potential cost of not getting a new roof?"" If you can save up for it a little at a time, while putting most of the rest of your money to paying off debt, that's what I would do.  Unless, of course, there is damage or risk of damage to your house by not doing it now. Then, you need to do the same measurement (of doing the roof now) against the goal of saving three to six months of expenses.  Especially in your case, with your mortgage underwater, you want to be sure you are prepared should anything happen (for example, losing a job, and potentially being forced to move for a new job). Cars/student loan: (Refer to #3 above — in other words, yes).",
Does doing your “research”/“homework” on stocks make any sense?,,"TL;DR: Sure, ""do your own homework"" is sometimes a cop out. But that doesn't mean we shouldn't do our homework. I agree that in many cases this is a cop-out by commentators. However, even if you believe in perfect market efficiency, there is benefit in ""doing your homework"" for many reasons. One of which you already mention in the question: different stocks all with the same ""value"" might have widely ranging risk. Another factor that might vary between stocks is their tax consequences. High dividend stocks might be a better fit for some buyers than others. One stock might be priced at $40 because there is a small chance they might get regulatory approval for a new product. This might make this stock very risky with a 20% of being $150 in 12 months, and a 80% chance of being $20. Another stock might be priced at $40 because the company is a cash cow, declining in revenues but producing a large dividend of $0.40 per quarter. Low risk, but also with some potential tax disadvantages. Another stock might be priced at $40 because it's a high growth stock. This would be less risky than the first example, but more risky than the second example. And the risk would be more generalized, i.e. there wouldn't be one day or one event that would be make or break the stock. In short, even if we assume that the market is pricing everything perfectly, not all stocks are equal and not all stocks are equally appropriate to everyone. Sometimes when we hear an analyst say ""they should have done their homework"" they are really saying ""This was a high risk/high reward stock. They should have known that this had a potential downside."" And that all assumes that we believe in 100% pure market efficiency. Which many disagree with, at least to some extent. For example, if we instead subscribe to Peter Lynch's theories about ""local knowledge"", we might believe that everyone has some personal fields of expertise where they know more than the experts. A professional stock analyst is going to follow many stocks and many not have technical experience in the field of the company. (This is especially true of small and mid cap stocks.) If you happen to be an expert in LED lighting, it is entirely feasible (at least to me) that you could be able to do a better job of ""doing homework"" on CREE than the analysts. Or if you use a specialized piece of software from a small vendor at work, and you know that the latest version stinks, then you will likely know more than the analyst does. I think it is somewhat akin to going to a doctor. We could say to ourselves ""the doctor is more knowledgeable about me than medicine, I'm just going to do what they tell me to do."" And 99% of the time, that is the right thing to do. But if we do our ""homework"" anyway, and research the symptoms, diagnoses, and drugs ourselves as well, we can do get benefits. Sometimes we just can express our preferences amongst equal solutions. Sometimes we can ask smarter questions. And sometimes we have some piece of knowledge that the doctor doesn't have and can actually make an important discovery they didn't know. (And, just like investing, sometimes we can also have just enough knowledge to be dangerous and do ourselves harm if we go against the advice of the professionals.)",
Is there any sort of tax write off for unfulfilled pay checks?,,"Unfortunately, no.  Think about the numbers. If you work for me, and I pay you $1000, you owe tax on $1000. If you still work, but I don't pay you, you have no tax due, but there's no benefit for you to collect for my stealing your time.",
Filing 1040-NR when I have been outside the US the entire year?,,"Yes, you can still file a 1040nr. You are a nonresident alien and were:  engaged in a trade or business in the United States Normally, assuming your withholding was correct, you would get a minimal amount back. Income earned in the US is definitely Effectively Connected Income and is   taxed at the graduated rates that apply to U.S. citizens and resident aliens. However, there is a tax treaty between US and India, and it suggests that you would be taxed on the entirety of the income by India. This suggests to me that you would get everything that was withheld back.",
What considerations are there for making investments on behalf of a friend?,,"There's a sizable community of people and fiscal advisers who advocate not managing the money at all. Set your passive investor friend with automatic bank draft into a simple three/four fund portfolio of low cost index funds and never never ever trade.  See https://www.bogleheads.org/RecommendedReading.php You might be able to beat the stock market for a few years, but probably not over the long term.  Most mutual fund professionals don't.  Playing with your own money is one thing: playing with other people's money is a whole other ball game.",
Borrowing money to buy shares for cashflow?,,"Buying individual/small basket of high dividend shares is exposing you to 50%+ and very fast potential downswings in capital/margin calls. There is no free lunch in returns in this respect: nothing that pays enough to help you pay your mortgage at a high rate won’t expose you to a lot of potential volatility. Main issue here looks like you have very poorly performing rental investments you should consider selling or switching up rental usage/how you rent them (moving to shorter term, higher yield lets, ditching any agents/handymen that are taking up capital/try and refinance to lower mortgage rates etc etc). Trying to use leveraged stock returns to pay for poorly performing housing investments is like spraying gasoline all over a fire. Fixing the actual issue in hand first is virtually always the best course of action in these scenarios.",
How to rebalance a passive portfolio if I speculate a war is coming?,,"Normally, in a war everybody suffers and the entire economy goes down. Military contractors do better than average, but the average sucks. The way to take advantage of knowing a war is coming is to leave as soon as possible. There are strategic materials that can become valuable in a war, but such investments are generally very specialized and not something an ordinary investor would be in a position to exploit.  The most profitable businesses in war are food, oil, and ammunition.",
How to learn about doing technical analysis?  Any suggested programs or tools that teach it?,,"I recall the name Martin Pring. As my fundamental analysis book from grad school was the work of Graham and Dodd titled Security Analysis, Pring was the author of the books I read on technical analysis. If you've not read his work, your education has a ways to go before you hit the tools.",
Where can I find historical United States treasury note volume?,,"The Securities Industry and Financial Markets Association (SIFMA) publishes these and other relevant data on their Statistics page, in the ""Treasury & Agency"" section. The volume spreadsheet contains annual and monthly data with bins for varying maturities. These data only go back as far as January 2001 (in most cases). SIFMA also publishes treasury issuances with monthly data for bills, notes, bonds, etc. going back as far as January 1980. Most of this information comes from the Daily Treasury Statements, so that's another source of specific information that you could aggregate yourself. Somewhere I have a parser for the historical data (since the Treasury doesn't provide it directly; it's only available as daily text files). I'll post it if I can find it. It's buried somewhere at home, I think.",
"As an American working in the UK, do I have to pay taxes on foreign income?",,"A) a tax treaty probably covers this for the avoidance of double taxation. Tax treaties can be very cryptic and have little precedence clarifying them http://www.irs.gov/businesses/international/article/0,,id=169552,00.html B) I'm going to say NO since the source of your income is going to be US based. But the UK tax laws might also have specific verbage for resident source income. sorry it is an inconclusive answer, but should be some factors to consider and point you in the right direction.",
Trouble sticking to a budget when using credit cards for day to day transactions?,,"In your comment in response to this answer, you said that your biggest issue is oversight, which you can do by checking your online bank account regularly. Mint.com looks good but you're in Australia? Easy, check out getpocketbook.com. Using it and love it, helps a lot to track your tracking, and it's a god-send during tax time.",
What's the difference between Term and Whole Life insurance?,,For most people Term is the way to go. I consider life insurance a necessity not an investment. See this article on SmartMoney.,
What is the difference between FINRA share volume and NASDAQ share volume?,,"Assuming the data you're referring to is this line: the difference might be related to the different exchanges on which the stock trades.  FINRA could be listing the reported volume from one exchange, while the NASDAQ data might be listing the volume on all exchanges. This is an important distinction because AAV is a Canadian company that is listed on the Toronto Stock Exchange and the NYSE. The Q at the end of the line stands for NASDAQ, according to FINRA's codebook for those data. My guess is that the FINRA data is only reporting the volume for the NASDAQ exchange and not the total volume for all exchanges (Toronto, NASDAQ, NYSE, etc.) while the data straight from NASDAQ, oddly enough, is reporting the total volume. However, FINRA could also face reporting discrepancies, since it's a regulatory body and therefore might not have the most up-to-date volume data that the various exchanges can access.  I don't know if it's related or not, but looking at the NASDAQ historical data, it looks like the volume on March 6, the day you're asking about, was much lower than the volume in most of the days immediately before or after it. For all I know, something might have happened that day concerning that particular stock or the market as a whole. I don't remember anything in particular, but you never know.",
On what time scales are stock support and resistance levels meaningful?,,"Support and resistance only works as a self-fulfilling prophecy. If everyone trading that stock agrees there's a resistance at so-and-so level, and it is on such-and-such scale, then they will trade accordingly and there will really be a support or resistance. So while you can identify them at any time scale (although as a rule the time scale on which you observed them should be similar to the time scale on which you intend to use them), it's no matter unless that's what all the other traders are thinking as well. Especially if there are multiple possible S/P levels for different time scales, there will be no consensus, and the whole system will break down as one cohort ruins the other group's S/P by not playing along and vice versa. But often fundamentals are expected to dominate in the long run, so if you are thinking of trades longer than a year, support and resistance will likely become meaningless regardless. It's not like that many people can hold the same idea for that long anyhow.",
Can a entrepreneur hire a self-employed business owner?,,"Yes. I can by all means start my own company and name myself CEO. If Bill Gates wanted to hire me, I'll take the offer and still be CEO of my own company. Now, whether or not my company makes money and survives is another question.  This is the basis of self-employed individuals who contract out their services.",
What is the effect of options expiration on equity pricing?,,"Institutions and market makers tend to try and stay delta neutral, meaning that for every options contract they buy or write, they buy or sell the equivalent underlying asset. This, as a theory, is called max pain, which is more of an observation of this behavior by retail investors. This as a reality is called delta hedging done by market makers and institutional investors. The phenomenom is that many times a stock gets pinned to a very even number at a particular price on options expiration days (like 500.01 or 499.99 by closing bell). At options expiration dates, many options contracts are being closed (instutitions and market makers are typically on the other side of those trades, to keep liquidity), so for every one standard 100 share contract the market maker wrote, they bought 100 shares of the underlying asset, to remain delta neutral. When the contract closes (or get rid of the option) they sell that 100 shares of the underlying asset. At mass volume of options traded, this would cause noticeable downward pressure, similarly for other trades it would cause upward pressure as institutions close their short positions against options they had bought. The result is a pinned stock right above or below an expiration that previously had a lot of open interest. This tends to happen in more liquid stocks, than less liquid ones, to answer that question. As they have more options series and more strike prices. No, this would not be illegal, in the US attempting to ""mark the close"" is supposedly prohibited but this wouldn't count as it, the effect of derivatives on stock prices is far beyond the SEC's current enforcement regime :) although an active area of research",
Why don't banks print their own paper money / bank notes?,,"Who says they don't? In the United Kingdom the Bank of England and the Bank of Scotland print the money. In some other countries (like Hong Kong, Israel, and the US) commercial banks were issuing the currency at some point of time, but now the governments do that. The problem with commercial banks issuing currency is the control. If a bank is allowed to print money - how can the amount of currency be controlled? If it is controlled by the government then the bank will be just a printing press, so what's the point? And since governments now want to control the monetary policy, banks have no reason to just be printing presses for the government, the governments have their own. edit Apparently in Hong Kong it is still the case, as I'm sure it is in some other places in the world as well.",
Is this Employee Stock Purchase Plan worth it when adding my student loan into the equation?,,"The closer the contribution is to the December 31st date, the more profitable that specific contribution is, only taking into consideration the 5% discount. On your case, the first contribution that beats your student loans interest rate is the August one, where you get about 9% annual return, the remaining contributions go up from there.",
What effect would currency devaluation have on my investments?,,"First, a clarification. No assets are immune to inflation, apart from inflation-indexed securities like TIPS or inflation-indexed gilts (well, if held to maturity, these are at least close). Inflation causes a decline in the future purchasing power of a given dollar1 amount, and it certainly doesn't just affect government bonds, either. Regardless of whether you hold equity, bonds, derivatives, etc., the real value of those assets is declining because of inflation, all else being equal. For example, if I invest $100 in an asset that pays a 10% rate of return over the next year, and I sell my entire position at the end of the year, I have $110 in nominal terms. Inflation affects the real value of this asset regardless of its asset class because those $110 aren't worth as much in a year as they are today, assuming inflation is positive. An easy way to incorporate inflation into your calculations of rate of return is to simply subtract the rate of inflation from your rate of return. Using the previous example with inflation of 3%, you could estimate that although the nominal value of your investment at the end of one year is $110, the real value is $100*(1 + 10% - 3%) = $107. In other words, you only gained $7 of purchasing power, even though you gained $10 in nominal terms. This back-of-the-envelope calculation works for securities that don't pay fixed returns as well. Consider an example retirement portfolio. Say I make a one-time investment of $50,000 today in a portfolio that pays, on average, 8% annually. I plan to retire in 30 years, without making any further contributions (yes, this is an over-simplified example). I calculate that my portfolio will have a value of 50000 * (1 + 0.08)^30, or $503,132. That looks like a nice amount, but how much is it really worth? I don't care how many dollars I have; I care about what I can buy with those dollars.  If I use the same rough estimate of the effect of inflation and use a 8% - 3% = 5% rate of return instead, I get an estimate of what I'll have at retirement, in today's dollars. That allows me to make an easy comparison to my current standard of living, and see if my portfolio is up to scratch. Repeating the calculation with 5% instead of 8% yields 50000 * (1 + 0.05)^30, or $21,6097. As you can see, the amount is significantly different. If I'm accustomed to living off $50,000 a year now, my calculation that doesn't take inflation into account tells me that I'll have over 10 years of living expenses at retirement. The new calculation tells me I'll only have a little over 4 years. Now that I've clarified the basics of inflation, I'll respond to the rest of the answer.  I want to know if I need to be making sure my investments span multiple currencies to protect against a single country's currency failing. As others have pointed out, currency doesn't inflate; prices denominated in that currency inflate. Also, a currency failing is significantly different from a prices denominated in a currency inflating. If you're worried about prices inflating and decreasing the purchasing power of your dollars (which usually occurs in modern economies) then it's a good idea to look for investments and asset allocations that, over time, have outpaced the rate of inflation and that even with the effects of inflation, still give you a high enough rate of return to meet your investment goals in real, inflation-adjusted terms. If you have legitimate reason to worry about your currency failing, perhaps because your country doesn't maintain stable monetary or fiscal policies, there are a few things you can do. First, define what you mean by ""failing."" Do you mean ceasing to exist, or simply falling in unit purchasing power because of inflation? If it's the latter, see the previous paragraph. If the former, investing in other currencies abroad may be a good idea. Questions about currencies actually failing are quite general, however, and (in my opinion) require significant economic analysis before deciding on a course of action/hedging. I would ask the same question about my home's value against an inflated currency as well. Would it keep the same real value. Your home may or may not keep the same real value over time. In some time periods, average home prices have risen at rates significantly higher than the rate of inflation, in which case on paper, their real value has increased. However, if you need to make substantial investments in your home to keep its price rising at the same rate as inflation, you may actually be losing money because your total investment is higher than what you paid for the house initially. Of course, if you own your home and don't have plans to move, you may not be concerned if its value isn't keeping up with inflation at all times. You're deriving additional satisfaction/utility from it, mainly because it's a place for you to live, and you spend money maintaining it in order to maintain your physical standard of living, not just its price at some future sale date. 1) I use dollars as an example. This applies to all currencies.",
How to split stock earnings?,,"If he asked you to invest his money with certain objectives which resulted in you buying specific stocks for him with his money, then sell all the stocks which you bought with his money and the capital and profits to him. You may want to calculate the trading fees that you incurred while buying these specific stocks and taxes from the sale of these stocks, withholding them to over the trading fees that you have already paid and the taxes that you might still need to pay. If you traded with his money no different than yours, then I would think of your investment account as a black box. Calculate the initial money that you both invested at the time you added his capital to the account, calculate how much it all is currently worth, then liquidate and return a percentage equal to that of his initial investment. You can account for trading fees and taxes, subtracting by the same percentage.",
How can I save on closing costs when buying a home?,,"As a buyer, one of the easiest ways to save on closing costs is to avoid title insurance.  This will only apply if you are a cash buyer, as a mortgage writer will typically require title insurance.   It is also one of the most ill-advised ways to save money.  You need title insurance.   For the most part, there is really no way to truly save on closing costs.  Wrapping costs into a loan, saving on interest or taxes through timing don't truly save money.  Sometimes you can obtain discounts on closing by using an targeted lender, but that may cost you in higher interest rates.   By paying points on your loan, you may increase your costs at closing in order to save money on interest paid.   Certainly you can't discount required, government imposed fees (like doc stamps).   You may be able to shop around and find a bit lower fees for appraisal, credit reports, title company fees, and title insurance.  However, that is a lot of work for not a lot of return.  Title companies seem to be pretty tight lipped about their fees.   The best yield of your time is to get the other party in the transaction to pay your costs.  The market or local tradition may not allow this.  An additional way to lower your costs is to ask the realtors involved to discount their commissions.  However, they could always say ""no"".   The bottom line is transacting real estate is very expensive.",
Why won't my retirement account let me write a “covered put”?,,"You're correct in your implied point: Selling a cash secured put has less risk (in terms of both volatility and maximum loss) than buying the security outright. However, many brokerages don't allow cash-secured put writing in IRA accounts.   There are three reasons this tends to be the case:",
Paying taxes on dividends even though your capital gains were $0?,,"The issue for you seems to be the sequence of events. Presumably, there will be a gain in the fund. In one year, you have a fund worth $100,000 and the $8500 your netted from the $10,000 dividend. (Dividends are taxed at 15% for most of us. If your taxable income is under $38K single, it's $0) An $8500 net return for the year. Now, if there were no initial dividend, and at the end of a full year, your $100K grew to $110K, and then gave you the $10K dividend, you might not be so unhappy. Even on day 2, you now have a fund worth $90K with a basis of $100K, and the promise of future dividends or cap gains. When you sell, the first $10K of gain from this point will effectively be tax free due to this quick drop.  To directly answer the last few sentences, dividends and cap gains are different. And different still, for the way a fund processes them.",
Borrowing money to buy shares for cashflow?,,"Maybe a bit off topic, but I suggest reading ""Rich Dad Poor Dad"" by Robert Kiyosaki. An investment is something that puts money to your pocket. If your properties don't put money to your pocket (and this seems to be the case), then they're not an investment. Instead, they drain money from you pocket. Therefore you should instead turn these ""investments"" into real investments. Make everything to earn some money using them, not to earn money somewhere else to cover the loses they create. If that's not possible, get rid of them and find something that ""puts money into your pocket"".",
Paying for things on credit and immediately paying them off: any help for credit rating?,,"The biggest risk is Credit Utilization rate.  If you have a total of $10,000 in revolving credit (ie: credit card line) and you ever have more than 50% (or 33% to be conservative) on the card at any time then your credit score will be negatively impacted. This will be a negative impact even if you charge it on day one and pay it off in full on day 2.  Doesn't make much sense but credit companies are playing the averages:  on average they find that people who get close to maxing their credit limit are in some sort of financial trouble. You're better off to make small purchases each month, under $100, and pay them off right away.  That will build a better credit history - and score.",
Covered call when stock position is at a loss,,"I don't think you understand options. If it expires, you can't write a new call for the same expiration date as it expired that day. Also what if the stock price decreases further to $40 or even more? If you think the stock will move in either way greatly, and you wish to be profit from it, look into straddles.",
Why won't my retirement account let me write a “covered put”?,,"A ""covered put"" of the form of being short, and buying at the strike price if the ""put ... is put"" (excercise), is off the table simply because you can't do shorts in the retirement account. Even if you feel you ""win"" the argument that you're hedged by being short, any broker can say, ""we simply forbid shorts"" and that's that. A ""covered put"" of the form of posting the cash, and spending it to buy at the strike price if the ""put ... is put"" (excercise), might be forbidden by brokerages because, frankly, how do you account for the ""dedicated"" cash? Is it locked down like margin is, or escrow, or what? I don't know offhand how I would address that in my very own firm. Thus, any broker could say, ""we forbid it"" and that's that. The other answers are very interesting in conjunction with this. JoeTaxpayer says, very paraphrased, 'just cuz it's legal doesn't mean we have to offer it.' Jaydles says (again, completely paraphrasing), 'complex stuff for a safe little retirement savings account;' 'difficult to administer' (as I said, how do you account for it); and 'tradition' So maybe look at Scott, per Thorn's answer, LOL. It appears that you can shop around on this issue.",
Which student loans to pay off first: Stafford or private?,,"Without knowledge of the special provisions of your loan contract, the one with the highest interest rate should be paid first. Or, if one's fixed payment is much larger than the other, and it is a burden, then it should be paid first, but refinancing may be an option. Socially speaking and possibly even economically since it could affect your reputation, it is probably best to either refinance the cosigned loan or pay that off as rapidly as possible. Economically speaking, I would recommend no prepayment since the asset that is leveraged is your mind which will last many decades, probably exceeding the term of the loan, but some caveats must be handled first: Many would disagree, but I finance the way I play poker: tight-aggressive.",
"Pros & cons in Hungary of investing retirement savings exclusively in silver? What better alternatives, given my concerns?",,"The points given by DumbCoder are very valid. Diversifying portfolio is always a good idea. Including Metals is also a good idea. Investing in single metal though may not be a good idea.   •Silver is pretty cheap now, hopefully it will be for a while. •Silver is undervalued compared to gold. World reserve ratio is around 1 to 11, while price is around 1 to 60. Both the above are iffy statements. Cheap is relative term ... there are quite a few metals more cheaper than Silver [Copper for example]. Undervalued doesn't make sense. Its a quesiton of demand and supply. Today Industrial use of Silver is more widespread, and its predecting future what would happen. If you are saying Silver will appreciate more than other metals, it again depends on country and time period. There are times when even metals like Copper have given more returns than Silver and Gold. There is also Platinum to consider. In my opinion quite a bit of stuff is put in undervalued ... i.e. comparing reserve ratio to price in absolute isn't right comparing it over relative years is right. What the ratio says is for every 11 gms of silver, there is 1 gm of Gold and the price of this 1 gm is 60 times more than silver. True. And nobody tell is the demand of Silver 60 times more than Gold or 11 times more than Gold. i.e. the consumption. What is also not told is the cost to extract the 11 gms of silver is less than cost of 1 gm of Gold. So the cheapness you are thinking is  not 100% true.",
Does the stock market create any sort of value?,,"You are right, it is a Ponzi scheme unless it pays all of the profits as dividends. Here's why: today's millenials are saving a lot less, and instead they choose to be spenders. It's just that their mentality is different. If the trend continues there will be more spenders and less savers.  That means that in 20 years from now, a company might sell more and make more profits, but because there are less investors on the market it will worth less (judging by supply and demand this has to be true).  Doesn't that seem like a disconnect to you guys? Doesn't that just prove that all those profits are not really yours, but instead you're just sitting on the side making bets about them? If I own a company from the point where it goes public and while the value goes up I hold on to it for 50 years. Let's say for 45 years it made tons of profits but never paid a cent in dividend, and then in 5 years it goes out of business. What happened to all the profits they made throughout the 45 years?  If you owned a restaurant that made a profit for 45 years and then went bankrupt you are fine, you took your profits every year because why on earth would you reinvest 100% of the profit forever? But what if you could sell 49.9% of that restaurant on the stock market, get all of that IPO money and still keep all of the profits while claiming that you reinvest it forever? That's exactly what they do! They just buy expensive things for personal use, from fancy cars to private jets, they just write it down as an investment and you can't see what the money was spent on because you are not a majority stakeholder, you have no power. It was not like this forever, companies used to pay all of their profits in dividends and be valued according to that. Not anymore. Now they are just in it for the growth, it will keep growing as long as people keep buying into it, and that's the exact definition of a Ponzi scheme.",
